Unnamed: 0,state_total,NSW_total,VIC_total,QLD_total,SA_total,WA_total,TAS_total,ACT_total,DATE_NUMERIC,YEAR,MONTH
1988-03-01,951.3,265.6,198.0,305.0,80.9,59.8,32.0,6.8,725797,1988,3
2011-03-01,955.7,223.8,150.6,455.6,60.3,44.1,21.3,0.0,734197,2011,3
1995-12-01,978.7,229.5,241.7,351.2,58.3,68.4,24.4,0.0,728628,1995,12
2012-12-01,1099.2,237.1,151.3,589.3,51.1,54.3,16.2,0.0,734838,2012,12
2005-03-01,1007.6,226.9,160.5,484.7,51.7,52.5,31.0,0.0,732006,2005,3
2014-12-01,1212.7,267.5,225.5,573.6,60.5,66.6,18.9,0.0,735568,2014,12
1980-09-01,1130.1,250.9,186.4,444.2,60.7,113.8,18.6,6.1,723059,1980,9
1981-06-01,964.1,235.7,199.1,319.7,54.5,94.3,26.4,5.9,723332,1981,6
1980-12-01,921.5,268.2,218.2,227.0,64.4,88.3,22.0,6.2,723150,1980,12
1979-03-01,1254.7,394.9,303.6,347.2,77.6,86.3,31.0,7.3,722509,1979,3
1996-06-01,1026.4,278.1,241.7,397.1,34.6,46.5,25.4,0.0,728811,1996,6
2004-12-01,1105.2,214.9,159.3,584.0,56.3,61.8,28.5,0.0,731916,2004,12
1993-06-01,1072.3,275.8,187.4,461.9,54.2,51.9,27.9,10.0,727715,1993,6
1993-03-01,983.7,250.5,213.5,340.2,70.2,67.8,31.1,8.3,727623,1993,3
2015-06-01,1119.5,242.5,189.1,564.4,60.1,43.3,20.0,0.0,735750,2015,6
1984-06-01,863.7,171.9,153.8,380.4,46.1,61.5,20.8,5.9,724428,1984,6
2013-06-01,1081.5,241.3,147.0,578.3,57.4,43.7,13.7,0.0,735020,2013,6
1994-03-01,944.2,243.8,217.6,342.6,52.7,59.4,27.7,0.0,727988,1994,3
2004-09-01,1135.9,235.4,137.2,653.8,34.9,50.3,24.0,0.0,731825,2004,9
1993-12-01,1053.5,252.9,195.2,440.2,56.3,81.2,25.2,0.0,727898,1993,12
2016-06-01,971.5,202.9,134.7,513.6,56.4,43.5,20.4,0.0,736116,2016,6
2010-09-01,1025.7,226.1,130.2,566.4,46.6,35.9,20.5,0.0,734016,2010,9
2006-06-01,1050.8,234.3,137.5,575.7,39.1,45.0,19.0,0.0,732463,2006,6
2001-06-01,1055.0,195.7,145.0,610.8,41.0,42.1,20.1,0.0,730637,2001,6
1993-09-01,1102.8,270.1,166.7,511.4,47.3,76.4,21.1,3.1,727807,1993,9
2005-09-01,1102.8,224.4,124.1,657.2,34.7,42.3,19.7,0.0,732190,2005,9
1982-12-01,945.2,236.2,228.8,261.0,78.7,89.4,28.6,1.4,723880,1982,12
2016-09-01,901.1,175.4,118.9,485.0,55.1,50.4,16.3,0.0,736208,2016,9
1991-12-01,1102.0,273.1,207.0,440.8,74.3,69.0,23.7,7.7,727167,1991,12
2012-06-01,985.2,202.5,133.1,541.5,48.0,42.4,17.7,0.0,734655,2012,6
2005-06-01,1138.1,248.6,143.2,608.1,48.1,64.1,25.7,0.0,732098,2005,6
2018-09-01,1007.1,216.6,144.0,556.4,29.2,34.9,26.1,0.0,736938,2018,9
1981-09-01,1031.2,207.6,177.1,427.8,51.9,101.3,22.6,6.8,723424,1981,9
1999-06-01,929.5,172.8,191.9,463.5,30.1,40.3,28.5,0.0,729906,1999,6
2019-09-01,976.0,210.4,152.7,521.1,28.5,39.8,23.5,0.0,737303,2019,9
1978-03-01,1191.8,357.6,347.0,269.6,72.6,94.6,42.7,7.8,722144,1978,3
2015-09-01,1151.0,257.2,158.0,605.0,58.5,53.8,18.5,0.0,735842,2015,9
2012-09-01,1085.9,227.5,124.0,623.3,53.8,44.6,12.7,0.0,734747,2012,9
2018-06-01,965.3,210.6,150.1,506.5,32.5,41.6,23.9,0.0,736846,2018,6
